material_id,formula,formation_energy,e_above_hull,comp_group,elements_set,elements,fractions,element_indices
mp-1234188,Rb2MgCu4H5(SO5)4,-1.634588541006944,0.078145166041663,Cu:0.20|H:0.30|Mg:0.05|O:0.30|Rb:0.10|S:0.05,"{'O', 'Rb', 'H', 'Mg', 'S', 'Cu'}","Cu,H,Mg,O,Rb,S","0.22222222,0.27777778,0.05555556,0.27777778,0.11111111,0.05555556","27,42,60,73,86,93"
mp-684028,Li3Bi(PO4)2,-2.558272355187075,0.049689325833331,Bi:0.10|Li:0.35|O:0.45|P:0.10,"{'O', 'Li', 'P', 'Bi'}","Bi,Li,O,P","0.11111111,0.33333333,0.44444444,0.11111111","13,54,73,76"
mp-1110814,CsRb2TmCl6,-2.4289428404655182,0.079376530250006,Cl:0.60|Cs:0.10|Rb:0.20|Tm:0.10,"{'Cs', 'Cl', 'Rb', 'Tm'}","Cl,Cs,Rb,Tm","0.60000000,0.10000000,0.20000000,0.10000000","21,26,86,109"
mp-6511,KCSN,-0.5351224188281231,0.014617638645834,C:0.25|K:0.25|N:0.25|S:0.25,"{'N', 'K', 'C', 'S'}","C,K,N,S","0.25000000,0.25000000,0.25000000,0.25000000","16,51,64,93"
mp-1047501,ZnSn3(P2O7)2,-2.304894409480518,0.080147990255692,O:0.55|P:0.15|Sn:0.25|Zn:0.10,"{'Sn', 'O', 'P', 'Zn'}","O,P,Sn,Zn","0.53846154,0.15384615,0.23076923,0.07692308","73,76,100,117"
mp-1104447,KGdGeS4,-1.539102019607141,0.030727156250002,Gd:0.15|Ge:0.15|K:0.15|S:0.55,"{'S', 'K', 'Ge', 'Gd'}","Gd,Ge,K,S","0.14285714,0.14285714,0.14285714,0.57142857","40,41,51,93"
mp-771163,CsY3O5,-3.495141794406131,0.005671224861107,Cs:0.10|O:0.55|Y:0.35,"{'Cs', 'Y', 'O'}","Cs,O,Y","0.11111111,0.55555556,0.33333333","26,73,115"
mp-1221438,Na(CoO2)3,-1.363847183137929,0.0,Co:0.25|Na:0.25|O:0.50,"{'Na', 'Co', 'O'}","Co,Na,O","0.25000000,0.25000000,0.50000000","24,65,73"
mp-1189208,Cu5(PO6)2,-1.4734915231203,0.057811888190792,Cu:0.40|O:0.50|P:0.10,"{'Cu', 'O', 'P'}","Cu,O,P","0.41666667,0.50000000,0.08333333","27,73,76"
mp-30353,AgPt3,0.030191863,0.071388504,Ag:0.25|Pt:0.75,"{'Ag', 'Pt'}","Ag,Pt","0.25000000,0.75000000","2,83"
